lon_east,lon_west,lat_north,lat_south,center_lat,center_lon,timestep
344.143677,336.143677,57.498344,49.498344,53.498344,340.143677,0
344.544952,336.544952,57.282829,49.282829,53.282829,340.544952,1
344.796051,336.796051,56.44265,48.44265,52.44265,340.796051,2
347.108795,339.108795,55.339073,47.339073,51.339073,343.108795,3
349.763611,341.763611,53.412136,45.412136,49.412136,345.763611,4
0.295532,352.295532,52.234261,44.234261,48.234261,176.29553199999998,10
0.719971,352.719971,52.125378,44.125378,48.125378,176.719971,11
1.373108,353.373108,52.163063,44.163063,48.163063,177.373108,12
1.603546,353.603546,52.239433,44.239433,48.239433,177.603546,13
1.889526,353.889526,52.235867,44.235867,48.235867,177.889526,14
2.23642,354.23642,51.831875,43.831875,47.831875,178.23642,15
2.975159,354.975159,51.650684,43.650684,47.650684,178.97515900000002,16
3.493164,355.493164,51.68784,43.68784,47.68784,179.49316399999998,17
3.704437,355.704437,52.022964,44.022964,48.022964,179.70443699999998,18
3.730774,355.730774,52.515388,44.515388,48.515388,179.730774,19
3.273376,355.273376,53.314217,45.314217,49.314217,179.27337599999998,20
3.553833,355.553833,54.041904,46.041904,50.041904,179.553833,21
4.007013,356.007013,55.711063,47.711063,51.711063,180.00701299999997,22
3.406921,355.406921,56.504982,48.504982,52.504982,179.406921,23
3.208099,355.208099,56.854031,48.854031,52.854031,179.208099,24
2.939362,354.939362,57.018993,49.018993,53.018993,178.93936200000002,25
2.559235,354.559235,57.272461,49.272461,53.272461,178.559235,26
2.06134,354.06134,57.063393,49.063393,53.063393,178.06133999999997,27
1.506958,353.506958,57.015079,49.015079,53.015079,177.506958,28
1.600525,353.600525,56.750004,48.750004,52.750004,177.600525,29
1.941376,353.941376,56.518505,48.518505,52.518505,177.941376,30
2.438538,354.438538,56.372295,48.372295,52.372295,178.438538,31
3.059845,355.059845,56.611771,48.611771,52.611771,179.059845,32
3.702209,355.702209,56.737667,48.737667,52.737667,179.70220899999998,33
4.330398,356.330398,56.937717,48.937717,52.937717,180.330398,34
4.751617,356.751617,56.994358,48.994358,52.994358,180.751617,35
5.061981,357.061981,57.386337,49.386337,53.386337,181.061981,36
5.29359,357.29359,57.754459,49.754459,53.754459,181.29359,37
5.110678,357.110678,58.03561,50.03561,54.03561,181.110678,38
4.8186,356.8186,58.347008,50.347008,54.347008,180.8186,39
4.196238,356.196238,58.657215,50.657215,54.657215,180.196238,40
2.703217,354.703217,58.877621,50.877621,54.877621,178.703217,41
2.097321,354.097321,59.057827,51.057827,55.057827,178.09732100000002,42
2.976746,354.976746,58.826828,50.826828,54.826828,178.976746,43
3.677399,355.677399,58.763084,50.763084,54.763084,179.67739899999998,44
4.333176,356.333176,58.492134,50.492134,54.492134,180.33317599999998,45
6.105666,358.105666,58.190884,50.190884,54.190884,182.10566599999999,46
7.094823,359.094823,58.55764,50.55764,54.55764,183.09482300000002,47
