lon_east,lon_west,lat_north,lat_south,center_lat,center_lon,timestep
271.746277,263.746277,39.671623,31.671623,35.671623,267.746277,0
272.18924,264.18924,38.635349,30.635349,34.635349,268.18924,1
273.031708,265.031708,38.335251,30.335251,34.335251,269.031708,2
273.48407,265.48407,37.313229,29.313229,33.313229,269.48407,3
282.458679,274.458679,37.629208,29.629208,33.629208,278.458679,13
285.285156,277.285156,38.535549,30.535549,34.535549,281.285156,14
289.077698,281.077698,39.729965,31.729965,35.729965,285.077698,15
291.772949,283.772949,40.646793,32.646793,36.646793,287.772949,16
296.045898,288.045898,42.556,34.556,38.556,292.045898,17
300.018982,292.018982,45.057255,37.057255,41.057255,296.018982,18
303.326874,295.326874,46.271461,38.271461,42.271461,299.326874,19
306.080994,298.080994,47.247555,39.247555,43.247555,302.080994,20
309.618408,301.618408,48.459301,40.459301,44.459301,305.618408,21
313.726776,305.726776,49.750359,41.750359,45.750359,309.726776,22
317.224274,309.224274,50.595417,42.595417,46.595417,313.224274,23
320.125305,312.125305,51.289303,43.289303,47.289303,316.125305,24
323.192902,315.192902,51.913658,43.913658,47.913658,319.192902,25
326.722809,318.722809,52.653454,44.653454,48.653454,322.722809,26
330.401306,322.401306,53.459667,45.459667,49.459667,326.401306,27
333.930603,325.930603,54.212421,46.212421,50.212421,329.930603,28
337.662781,329.662781,54.983231,46.983231,50.983231,333.662781,29
341.543945,333.543945,55.578182,47.578182,51.578182,337.543945,30
344.929199,336.929199,56.301857,48.301857,52.301857,340.929199,31
348.040924,340.040924,56.975586,48.975586,52.975586,344.040924,32
350.936371,342.936371,57.740803,49.740803,53.740803,346.936371,33
0.115051,352.115051,61.513973,53.513973,57.513973,176.115051,38
1.023468,353.023468,62.190956,54.190956,58.190956,177.02346799999998,39
1.781464,353.781464,62.863529,54.863529,58.863529,177.78146400000003,40
2.383331,354.383331,63.376369,55.376369,59.376369,178.383331,41
3.02536,355.02536,63.800491,55.800491,59.800491,179.02535999999998,42
3.637939,355.637939,64.122025,56.122025,60.122024999999994,179.63793900000002,43
4.350028,356.350028,64.411003,56.411003,60.411002999999994,180.350028,44
4.895389,356.895389,64.605541,56.605541,60.605541,180.89538900000002,45
5.444442,357.444442,64.799271,56.799271,60.799271000000005,181.44444199999998,46
6.129595,358.129595,64.886505,56.886505,60.886505,182.129595,47
7.681002,359.681002,65.579147,57.579147,61.579147000000006,183.68100199999998,48
