lon_east,lon_west,lat_north,lat_south,center_lat,center_lon,timestep
238.229156,230.229156,63.817566,55.817566,59.817566,234.229156,0
239.774506,231.774506,64.058624,56.058624,60.058623999999995,235.774506,1
243.768753,235.768753,63.8377,55.8377,59.8377,239.768753,2
249.827301,241.827301,62.577232,54.577232,58.577232,245.827301,3
252.938049,244.938049,61.412468,53.412468,57.412468,248.938049,4
256.639587,248.639587,59.459393,51.459393,55.459393,252.639587,5
258.953613,250.953613,58.573681,50.573681,54.573681,254.95361300000002,6
261.345581,253.345581,57.616245,49.616245,53.616245,257.345581,7
265.706848,257.706848,55.311291,47.311291,51.311291,261.706848,8
269.428497,261.428497,53.639702,45.639702,49.639702,265.428497,9
272.833374,264.833374,52.535675,44.535675,48.535675,268.833374,10
276.048553,268.048553,52.438297,44.438297,48.438297,272.048553,11
278.623718,270.623718,52.512714,44.512714,48.512714,274.623718,12
281.24881,273.24881,52.423973,44.423973,48.423973,277.24881,13
284.113037,276.113037,52.600334,44.600334,48.600334,280.113037,14
287.110657,279.110657,52.995609,44.995609,48.995609,283.110657,15
291.064026,283.064026,53.576199,45.576199,49.576199,287.064026,16
295.677124,287.677124,53.98418,45.98418,49.98418,291.677124,17
298.418274,290.418274,53.016083,45.016083,49.016083,294.418274,18
299.990051,291.990051,53.091084,45.091084,49.091084,295.990051,19
303.139282,295.139282,54.259243,46.259243,50.259243,299.139282,20
305.387909,297.387909,53.729584,45.729584,49.729584,301.387909,21
309.435394,301.435394,50.053356,42.053356,46.053356,305.435394,22
312.799347,304.799347,50.23103,42.23103,46.23103,308.799347,23
315.879761,307.879761,51.219421,43.219421,47.219421,311.879761,24
319.328278,311.328278,52.41473,44.41473,48.41473,315.328278,25
323.093475,315.093475,53.720055,45.720055,49.720055,319.093475,26
326.984375,318.984375,55.199371,47.199371,51.199371,322.984375,27
330.904938,322.904938,56.465981,48.465981,52.465981,326.904938,28
334.938232,326.938232,57.758553,49.758553,53.758553,330.938232,29
338.801056,330.801056,59.192829,51.192829,55.192829,334.801056,30
342.514954,334.514954,60.692642,52.692642,56.692642,338.514954,31
345.897491,337.897491,62.01054,54.01054,58.01054,341.897491,32
348.926453,340.926453,63.538269,55.538269,59.538269,344.926453,33
351.806824,343.806824,64.987106,56.987106,60.987106,347.806824,34
1.579651,353.579651,69.340027,61.340027,65.340027,177.579651,43
3.800262,355.800262,69.352356,61.352356,65.352356,179.80026199999998,44
6.180098,358.180098,69.299187,61.299187,65.299187,182.180098,45
