lon_east,lon_west,lat_north,lat_south,center_lat,center_lon,timestep
337.505798,329.505798,43.093319,35.093319,39.093319,333.505798,0
338.464569,330.464569,43.03875,35.03875,39.03875,334.464569,1
339.414337,331.414337,43.294189,35.294189,39.294189,335.414337,2
340.34201,332.34201,42.317436,34.317436,38.317436,336.34201,3
341.113403,333.113403,41.983784,33.983784,37.983784,337.113403,4
341.961609,333.961609,42.548943,34.548943,38.548943,337.961609,5
342.639771,334.639771,42.981033,34.981033,38.981033,338.639771,6
343.47467,335.47467,44.002182,36.002182,40.002182,339.47467,7
344.292114,336.292114,46.468494,38.468494,42.468494,340.292114,8
345.04361,337.04361,49.921665,41.921665,45.921665,341.04361,9
346.012848,338.012848,51.879677,43.879677,47.879677,342.012848,10
347.521759,339.521759,55.422031,47.422031,51.422031,343.521759,11
348.910278,340.910278,57.649254,49.649254,53.649254,344.910278,12
351.58078,343.58078,60.896584,52.896584,56.896584,347.58078,13
1.198029,353.198029,66.888443,58.888443,62.888442999999995,177.19802900000002,16
5.09704,357.09704,68.106255,60.106255,64.106255,181.09704,17
75.743683,67.743683,70.915009,62.915009,66.915009,71.743683,33
78.407661,70.407661,71.272751,63.272751,67.272751,74.407661,34
81.00248,73.00248,71.787247,63.787247,67.787247,77.00248,35
81.624374,73.624374,71.990387,63.990387,67.990387,77.624374,36
82.671997,74.671997,72.220764,64.220764,68.220764,78.671997,37
86.509659,78.509659,72.672447,64.672447,68.672447,82.509659,38
86.534409,78.534409,72.597992,64.597992,68.597992,82.534409,39
87.217171,79.217171,72.748672,64.748672,68.748672,83.217171,40
89.379898,81.379898,73.28392,65.28392,69.28392,85.379898,41
91.05703,83.05703,73.651176,65.651176,69.651176,87.05703,42
91.799728,83.799728,74.506195,66.506195,70.506195,87.799728,43
