Unnamed: 0;start_date;end_date;storm_index;3_hour_steps;1_hour_steps
57;20-01-08T03:00:00;27-01-08T09:00:00;58;58;174
58;05-02-08T00:00:00;09-02-08T21:00:00;59;39;117
59;25-02-08T00:00:00;03-03-08T18:00:00;61;62;186
60;07-03-08T21:00:00;16-03-08T15:00:00;60;70;210
61;16-12-08T06:00:00;21-12-08T15:00:00;62;43;129
62;13-01-09T03:00:00;19-01-09T09:00:00;63;50;150
63;22-01-09T00:00:00;27-01-09T15:00:00;64;45;135
64;23-02-10T00:00:00;07-03-10T03:00:00;65;97;291
65;01-02-11T09:00:00;05-02-11T09:00:00;66;32;96
66;23-11-11T00:00:00;28-11-11T12:00:00;67;44;132
67;06-12-11T15:00:00;14-12-11T00:00:00;68;59;177
68;22-12-11T21:00:00;26-12-11T21:00:00;69;32;96
69;02-01-12T15:00:00;07-01-12T15:00:00;70;40;120
70;26-10-13T03:00:00;30-10-13T06:00:00;71;33;99
71;11-11-13T21:00:00;19-11-13T12:00:00;72;61;183
72;02-12-13T09:00:00;09-12-13T00:00:00;73;53;159
76;10-12-13T06:00:00;15-12-13T15:00:00;77;43;129
73;12-12-13T12:00:00;16-12-13T03:00:00;74;29;87
74;12-12-13T18:00:00;18-12-13T21:00:00;75;49;147
75;15-12-13T15:00:00;20-12-13T15:00:00;76;40;120
77;22-12-13T18:00:00;30-12-13T09:00:00;78;61;183
78;09-02-14T09:00:00;15-02-14T00:00:00;79;45;135
79;05-01-15T00:00:00;12-01-15T12:00:00;80;60;180
80;05-01-15T15:00:00;10-01-15T21:00:00;81;42;126
81;10-01-15T12:00:00;15-01-15T21:00:00;82;43;129
82;12-01-15T18:00:00;19-01-15T09:00:00;83;53;159
83;06-02-15T18:00:00;10-02-15T09:00:00;84;29;87
84;27-01-16T15:00:00;01-02-16T03:00:00;85;36;108
85;30-01-16T03:00:00;04-02-16T09:00:00;86;42;126
86;03-02-16T21:00:00;10-02-16T03:00:00;87;50;150
87;19-12-16T06:00:00;25-12-16T06:00:00;88;48;144
88;21-12-16T03:00:00;29-12-16T09:00:00;89;66;198
89;04-10-17T03:00:00;17-10-17T21:00:00;90;110;330
90;06-02-20T18:00:00;09-02-20T03:00:00;91;19;57
91;08-02-20T21:00:00;12-02-20T09:00:00;92;28;84
92;13-02-20T09:00:00;17-02-20T18:00:00;93;35;105
93;01-10-20T00:00:00;07-10-20T00:00:00;94;48;144
94;29-10-20T06:00:00;04-11-20T09:00:00;95;49;147
95;21-03-21T18:00:00;25-03-21T03:00:00;96;27;81
