lon_east,lon_west,lat_south,lat_north,storm
284.910889,292.910889,37.708939,45.708939,1
286.339061,294.339061,37.799239,45.799239,1
287.767232,295.767232,37.889539,45.889539,1
289.195404,297.195404,37.979839,45.979839,1
290.470978,298.470978,38.20263,46.20263,1
291.746551,299.746551,38.425421,46.425421,1
293.022125,301.022125,38.648212,46.648212,1
294.330953,302.330953,39.023656,47.023656,1
295.63978,303.63978,39.3991,47.3991,1
296.948608,304.948608,39.774544,47.774544,1
298.169291,306.169291,40.25609,48.25609,1
299.389974,307.389974,40.737635,48.737635,1
300.610657,308.610657,41.219181,49.219181,1
301.751282,309.751282,41.627637,49.627637,1
302.891907,310.891907,42.036094,50.036094,1
304.032532,312.032532,42.44455,50.44455,1
305.196757,313.196757,42.650864,50.650864,1
306.360983,314.360983,42.857178,50.857178,1
307.525208,315.525208,43.063492,51.063492,1
308.830791,316.830791,43.411865,51.411865,1
310.136373,318.136373,43.760239,51.760239,1
311.441956,319.441956,44.108612,52.108612,1
312.769521,320.769521,44.385592,52.385592,1
314.097087,322.097087,44.662572,52.662572,1
315.424652,323.424652,44.939552,52.939552,1
316.834605,324.834605,45.206605,53.206605,1
318.244557,326.244557,45.473658,53.473658,1
319.65451,327.65451,45.740711,53.740711,1
321.231669,329.231669,46.074722,54.074722,1
322.808827,330.808827,46.408733,54.408733,1
324.385986,332.385986,46.742744,54.742744,1
326.251872,334.251872,47.284382,55.284382,1
328.117757,336.117757,47.826019,55.826019,1
329.983643,337.983643,48.367657,56.367657,1
331.505941,339.505941,48.966169,56.966169,1
333.028239,341.028239,49.564681,57.564681,1
334.550537,342.550537,50.163193,58.163193,1
335.806763,343.806763,50.802722,58.802722,1
337.062988,345.062988,51.44225,59.44225,1
338.319214,346.319214,52.081779,60.081779,1
339.339925,347.339925,52.592039,60.592039,1
340.360637,348.360637,53.1023,61.1023,1
341.381348,349.381348,53.61256,61.61256,1
342.08135,350.08135,54.218493,62.218493,1
342.781352,350.781352,54.824426,62.824426,1
343.481354,351.481354,55.430359,63.430359,1
343.972738,351.972738,55.9224,63.9224,1
344.464121,352.464121,56.414442,64.414442,1
344.955505,352.955505,56.906483,64.906483,1
345.184479,353.184479,57.441437,65.441437,1
345.413452,353.413452,57.976391,65.976391,1
345.642426,353.642426,58.511345,66.511345,1
345.659516,353.659516,58.867052,66.867052,1
345.676605,353.676605,59.222758,67.222758,1
345.693695,353.693695,59.578465,67.578465,1
345.66628,353.66628,59.935222,67.935222,1
345.638865,353.638865,60.291978,68.291978,1
345.61145,353.61145,60.648735,68.648735,1
345.436249,353.436249,60.894086,68.894086,1
345.261047,353.261047,61.139438,69.139438,1
345.085846,353.085846,61.384789,69.384789,1
344.71285,352.71285,61.558197,69.558197,1
344.339854,352.339854,61.731606,69.731606,1
343.966858,351.966858,61.905014,69.905014,1
