,start_date,end_date,storm_index,3_hour_steps,1_hour_steps
83,2015-02-06 18:00:00,2015-02-10 09:00:00,84,29,87
84,2016-01-27 15:00:00,2016-02-01 03:00:00,85,36,108
85,2016-01-30 03:00:00,2016-02-04 09:00:00,86,42,126
86,2016-02-03 21:00:00,2016-02-10 03:00:00,87,50,150
87,2016-12-19 06:00:00,2016-12-25 06:00:00,88,48,144
88,2016-12-21 03:00:00,2016-12-29 09:00:00,89,66,198
89,2017-10-04 03:00:00,2017-10-17 21:00:00,90,110,330
90,2020-02-06 18:00:00,2020-02-09 03:00:00,91,19,57
91,2020-02-08 21:00:00,2020-02-12 09:00:00,92,28,84
92,2020-02-13 09:00:00,2020-02-17 18:00:00,93,35,105
93,2020-10-01 00:00:00,2020-10-07 00:00:00,94,48,144
94,2020-10-29 06:00:00,2020-11-04 09:00:00,95,49,147
95,2021-03-21 18:00:00,2021-03-25 03:00:00,96,27,81
