lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
344.566742,352.566742,44.707256,52.707256,-11.0,48.7,42
345.721212,353.721212,44.999046,52.999046,-10.0,48.9,43
346.875681,354.875681,45.290836,53.290836,-9.1,49.2,44
348.030151,356.030151,45.582626,53.582626,-7.9,49.5,45
349.073639,357.073639,46.024664,54.024664,-6.9,50.0,46
350.117126,358.117126,46.466703,54.466703,-5.8,50.4,47
351.160614,359.160614,46.908741,54.908741,-4.8,50.9,48
352.268473,0.268473,47.396047,55.396047,-3.7,51.3,49
353.376333,1.376333,47.883353,55.883353,-2.6,51.8,50
354.484192,2.484192,48.370659,56.370659,-1.5,52.3,51
355.651923,3.651923,48.946812,56.946812,-0.3,52.9,52
356.819654,4.819654,49.522964,57.522964,0.81,53.5,53
357.987385,5.987385,50.099117,58.099117,1.98,54.0,54
359.229302,7.229302,50.584251,58.584251,3.22,54.5,55
0.47122,8.471220000000002,51.069386,59.069386,4.47,55.0,56
1.713137,9.713137,51.55452,59.55452,5.71,55.5,57
3.113545,11.113545,51.997779,59.997779,7.11,55.9,58
4.513952,12.513952,52.441037,60.441037,8.51,56.4,59
5.91436,13.91436,52.884296,60.884296,9.91,56.8,60
7.158914,15.158914,53.171497,61.171497,11.1,57.1,61
8.403468,16.403468,53.458698,61.458698,12.4,57.4,62
9.648022,17.648022,53.745899,61.745899,13.6,57.7,63
10.934523,18.934523,54.114776,62.114776,14.9,58.1,64
12.221025,20.221025,54.483654,62.483654,16.2,58.4,65
13.507526,21.507526,54.852531,62.852531,17.5,58.8,66
14.75849,22.75849,55.109212,63.109212,18.7,59.1,67
16.009454,24.009454,55.365893,63.365893,20.0,59.3,68
17.260418,25.260418,55.622574,63.622574,21.2,59.6,69
18.289836,26.289836,55.869326,63.869326,22.2,59.8,70
19.319253,27.319253,56.116079,64.116079,23.3,60.1,71
20.348671,28.348671,56.362831,64.362831,24.3,60.3,72
21.364478,29.364478,56.549554,64.549554,25.3,60.5,73
22.380284,30.380284,56.736277,64.736277,26.3,60.7,74
23.396091,31.396091,56.923,64.923,27.3,60.9,75
24.59214,32.59214,57.131644,65.131644,28.5,61.1,76
25.788189,33.788189,57.340287,65.340287,29.7,61.3,77
26.984238,34.984238,57.548931,65.548931,30.9,61.5,78
28.626494,36.626494,57.779484,65.779484,32.6,61.7,79
30.268751,38.268751,58.010036,66.010036,34.2,62.0,80
31.911007,39.911007,58.240589,66.240589,35.9,62.2,81
33.509794,41.509794,58.505277,66.505277,37.5,62.5,82
35.10858,43.10858,58.769965,66.769965,39.1,62.7,83
36.707367,44.707367,59.034653,67.034653,40.7,63.0,84
38.056033,46.056033,59.210809,67.210809,42.0,63.2,85
39.404699,47.404699,59.386966,67.386966,43.4,63.3,86
40.753365,48.753365,59.563122,67.563122,44.7,63.5,87
41.925068,49.925068,59.746447,67.746447,45.9,63.7,88
43.096772,51.096772,59.929773,67.929773,47.0,63.9,89
44.268475,52.268475,60.113098,68.113098,48.2,64.1,90
45.267049,53.267049,60.225911,68.225911,49.2,64.2,91
46.265624,54.265624,60.338725,68.338725,50.2,64.3,92
47.264198,55.264198,60.451538,68.451538,51.2,64.4,93
48.490909,56.490909,60.551559,68.551559,52.4,64.5,94
49.717621,57.717621,60.651581,68.651581,53.7,64.6,95
50.944332,58.944332,60.751602,68.751602,54.9,64.7,96
52.408731,60.408731,60.78922,68.78922,56.4,64.7,97
53.873129,61.873129,60.826838,68.826838,57.8,64.8,98
55.337528,63.337528,60.864456,68.864456,59.3,64.8,99
