lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
344.836131,352.836131,48.478265,56.478265,-11.0,52.4,53
345.889069,353.889069,48.817207,56.817207,-10.0,52.8,54
347.267253,355.267253,49.261051,57.261051,-8.7,53.2,55
348.645437,356.645437,49.704895,57.704895,-7.3,53.7,56
350.023621,358.023621,50.148739,58.148739,-5.9,54.1,57
351.357036,359.357036,50.609285,58.609285,-4.6,54.6,58
352.69045,0.69045,51.06983,59.06983,-3.3,55.0,59
354.023865,2.023865,51.530376,59.530376,-1.9,55.5,60
355.319955,3.319955,51.954648,59.954648,-0.6,55.9,61
356.616046,4.616046,52.37892,60.37892,0.61,56.3,62
357.912136,5.912136,52.803192,60.803192,1.91,56.8,63
359.290173,7.290173,53.174994,61.174994,3.29,57.1,64
0.668211,8.668211,53.546796,61.546796,4.66,57.5,65
2.046248,10.046248,53.918598,61.918598,6.04,57.9,66
3.267358,11.267358,54.259401,62.259401,7.26,58.2,67
4.488469000000001,12.488469,54.600203,62.600203,8.48,58.6,68
5.709579,13.709579,54.941006,62.941006,9.7,58.9,69
6.830769,14.830769,55.156563,63.156563,10.8,59.1,70
7.951959,15.951959,55.37212,63.37212,11.9,59.3,71
9.073149,17.073149,55.587677,63.587677,13.0,59.5,72
10.418029,18.418029,55.825792,63.825792,14.4,59.8,73
11.762908,19.762908,56.063906,64.063906,15.7,60.0,74
13.107788,21.107788,56.302021,64.302021,17.1,60.3,75
14.33654,22.33654,56.396206,64.396206,18.3,60.3,76
15.565292,23.565292,56.490391,64.490391,19.5,60.4,77
16.794044,24.794044,56.584576,64.584576,20.7,60.5,78
17.797758,25.797758,56.644167,64.644167,21.7,60.6,79
18.801473,26.801473,56.703757,64.703757,22.8,60.7,80
19.805187,27.805187,56.763348,64.763348,23.8,60.7,81
20.567082,28.567082,56.828944,64.828944,24.5,60.8,82
21.328977,29.328977,56.89454,64.89454,25.3,60.8,83
22.090872,30.090872,56.960136,64.960136,26.0,60.9,84
22.748578,30.748578,56.957486,64.957486,26.7,60.9,85
23.406284,31.406284,56.954837,64.954837,27.4,60.9,86
24.06399,32.06399,56.952187,64.952187,28.0,60.9,87
24.432947,32.432947,56.880444,64.880444,28.4,60.8,88
24.801903,32.801903,56.808701,64.808701,28.8,60.8,89
25.17086,33.17086,56.736958,64.736958,29.1,60.7,90
25.72692,33.72692,56.637612,64.637612,29.7,60.6,91
26.282981,34.282981,56.538265,64.538265,30.2,60.5,92
26.839041,34.839041,56.438919,64.438919,30.8,60.4,93
27.462811,35.462811,56.320232,64.320232,31.4,60.3,94
28.08658,36.08658,56.201546,64.201546,32.0,60.2,95
28.71035,36.71035,56.082859,64.082859,32.7,60.0,96
29.502028,37.502028,55.958775,63.958775,33.5,59.9,97
30.293706,38.293706,55.83469,63.83469,34.2,59.8,98
31.085384,39.085384,55.710606,63.710606,35.0,59.7,99
31.998097,39.998097,55.635442,63.635442,35.9,59.6,100
32.910811,40.910811,55.560279,63.560279,36.9,59.5,101
33.823524,41.823524,55.485115,63.485115,37.8,59.4,102
34.493258,42.493258,55.316934,63.316934,38.4,59.3,103
35.162992,43.162992,55.148753,63.148753,39.1,59.1,104
35.832726,43.832726,54.980572,62.980572,39.8,58.9,105
36.549958,44.549958,54.834433,62.834433,40.5,58.8,106
37.267189,45.267189,54.688295,62.688295,41.2,58.6,107
37.984421,45.984421,54.542156,62.542156,41.9,58.5,108
38.680968,46.680968,54.472843,62.472843,42.6,58.4,109
39.377515,47.377515,54.40353,62.40353,43.3,58.4,110
40.074062,48.074062,54.334217,62.334217,44.0,58.3,111
40.812919,48.812919,54.484155,62.484155,44.8,58.4,112
41.551777,49.551777,54.634093,62.634093,45.5,58.6,113
42.290634,50.290634,54.784031,62.784031,46.2,58.7,114
43.000214,51.000214,55.019605,63.019605,47.0,59.0,115
43.709793,51.709793,55.255179,63.255179,47.7,59.2,116
44.419373,52.419373,55.490753,63.490753,48.4,59.4,117
44.794684,52.794684,55.356435,63.356435,48.7,59.3,118
45.169996,53.169996,55.222117,63.222117,49.1,59.2,119
45.545307,53.545307,55.087799,63.087799,49.5,59.0,120
45.722821,53.722821,54.809803,62.809803,49.7,58.8,121
45.900336,53.900336,54.531807,62.531807,49.9,58.5,122
46.07785,54.07785,54.253811,62.253811,50.0,58.2,123
46.263013,54.263013,54.054658,62.054658,50.2,58.0,124
46.448176,54.448176,53.855506,61.855506,50.4,57.8,125
46.633339,54.633339,53.656353,61.656353,50.6,57.6,126
47.118121,55.118121,53.709815,61.709815,51.1,57.7,127
47.602903,55.602903,53.763276,61.763276,51.6,57.7,128
48.087685,56.087685,53.816738,61.816738,52.0,57.8,129
