lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
344.096609,352.096609,47.333739,55.333739,-11.0,51.3
345.235901,353.235901,47.579868,55.579868,-10.0,51.5
346.169413,354.169413,47.863774,55.863774,-9.8,51.8
347.102926,355.102926,48.147681,56.147681,-8.8,52.1
348.036438,356.036438,48.431587,56.431587,-7.9,52.4
348.855591,356.855591,48.829347,56.829347,-7.1,52.8
349.674743,357.674743,49.227106,57.227106,-6.3,53.2
350.493896,358.493896,49.624866,57.624866,-5.5,53.6
351.230875,359.230875,49.965013,57.965013,-4.7,53.9
351.967855,359.967855,50.305159,58.305159,-4.0,54.3
352.704834,0.704834,50.645306,58.645306,-3.2,54.6
353.274292,1.274292,51.08489,59.08489,-2.7,55.0
353.84375,1.84375,51.524474,59.524474,-2.1,55.5
354.413208,2.413208,51.964058,59.964058,-1.5,55.9
354.75587,2.75587,52.255772,60.255772,-1.2,56.2
355.098531,3.098531,52.547485,60.547485,-0.9,56.5
355.441193,3.441193,52.839199,60.839199,-0.5,56.8
355.59671,3.59671,53.104285,61.104285,-0.4,57.1
355.752228,3.752228,53.369371,61.369371,-0.2,57.3
355.907745,3.907745,53.634457,61.634457,0.0,57.6
355.980575,3.980575,53.946992,61.946992,0.0,57.9
356.053404,4.053404,54.259528,62.259528,0.05,58.2
356.126234,4.126234,54.572063,62.572063,0.12,58.5
355.990945,3.990945,54.797088,62.797088,0.0,58.7
355.855656,3.855656,55.022114,63.022114,-0.1,59.0
355.720367,3.720367,55.247139,63.247139,-0.2,59.2
355.559509,3.559509,55.335032,63.335032,-0.4,59.3
355.398651,3.398651,55.422925,63.422925,-0.6,59.4
355.237793,3.237793,55.510818,63.510818,-0.7,59.5
355.228963,3.228963,55.60864,63.60864,-0.7,59.6
355.220134,3.220134,55.706461,63.706461,-0.7,59.7
355.211304,3.211304,55.804283,63.804283,-0.7,59.8
355.26944,3.26944,55.852222,63.852222,-0.7,59.8
355.327576,3.327576,55.900162,63.900162,-0.6,59.9
355.385712,3.385712,55.948101,63.948101,-0.6,59.9
355.407552,3.407552,55.936812,63.936812,-0.5,59.9
355.429393,3.429393,55.925523,63.925523,-0.5,59.9
355.451233,3.451233,55.914234,63.914234,-0.5,59.9
355.652595,3.652595,56.038406,64.038406,-0.3,60.0
355.853958,3.853958,56.162579,64.162579,-0.1,60.1
356.05532,4.05532,56.286751,64.286751,0.05,60.2
356.261291,4.261291,56.583907,64.583907,0.26,60.5
356.467262,4.467262,56.881063,64.881063,0.46,60.8
356.673233,4.673233,57.178219,65.178219,0.67,61.1
356.866234,4.866234,57.512366,65.512366,0.86,61.5
357.059236,5.059236,57.846513,65.846513,1.05,61.8
357.252237,5.252237,58.18066,66.18066,1.25,62.1
357.280077,5.280077,58.413636,66.413636,1.28,62.4
357.307918,5.307918,58.646613,66.646613,1.3,62.6
357.335758,5.335758,58.879589,66.879589,1.33,62.8
357.589805,5.589805,59.133715,67.133715,1.58,63.1
357.843852,5.843852,59.387842,67.387842,1.84,63.3
358.097899,6.097899,59.641968,67.641968,2.09,63.6
358.135013,6.135013,59.937442,67.937442,2.13,63.9
358.172126,6.172126,60.232915,68.232915,2.17,64.2
358.20924,6.20924,60.528389,68.528389,2.2,64.5
358.036539,6.036539,60.786832,68.786832,2.03,64.7
357.863838,5.863838,61.045276,69.045276,1.86,65.0
357.691137,5.691137,61.303719,69.303719,1.69,65.3
357.505553,5.505553,61.479559,69.479559,1.5,65.4
357.31997,5.31997,61.655398,69.655398,1.31,65.6
357.134386,5.134386,61.831238,69.831238,1.13,65.8
356.71809,4.71809,61.862719,69.862719,0.71,65.8
356.301794,4.301794,61.894201,69.894201,0.3,65.8
355.885498,3.885498,61.925682,69.925682,-0.1,65.9
