lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
344.3072,352.3072,46.55568,54.55568,-11.0,50.5
345.198995,353.198995,47.146965,55.146965,-10.0,51.1
346.09079,354.09079,47.738251,55.738251,-9.9,51.7
346.980499,354.980499,48.214045,56.214045,-9.0,52.2
347.870209,355.870209,48.68984,56.68984,-8.1,52.6
348.759918,356.759918,49.165634,57.165634,-7.2,53.1
349.696482,357.696482,49.594932,57.594932,-6.3,53.5
350.633047,358.633047,50.024231,58.024231,-5.3,54.0
351.569611,359.569611,50.453529,58.453529,-4.4,54.4
352.459463,0.459463,50.796211,58.796211,-3.5,54.7
353.349314,1.349314,51.138893,59.138893,-2.6,55.1
354.239166,2.239166,51.481575,59.481575,-1.7,55.4
355.139559,3.139559,51.835851,59.835851,-0.8,55.8
356.039952,4.039952000000002,52.190127,60.190127,0.03,56.1
356.940345,4.940345,52.544403,60.544403,0.94,56.5
357.845918,5.845918,52.74969,60.74969,1.84,56.7
358.75149,6.75149,52.954976,60.954976,2.75,56.9
359.657063,7.657063,53.160263,61.160263,3.65,57.1
0.545317,8.545317000000002,53.380591,61.380591,4.54,57.3
1.43357,9.43357,53.600919,61.600919,5.43,57.6
2.321824,10.321824,53.821247,61.821247,6.32,57.8
3.238471,11.238471,54.032476,62.032476,7.23,58.0
4.155117,12.155117,54.243704,62.243704,8.15,58.2
5.071764,13.071764,54.454933,62.454933,9.07,58.4
5.849314,13.849314,54.555453,62.555453,9.84,58.5
6.626863,14.626863,54.655973,62.655973,10.6,58.6
7.404413,15.404413,54.756493,62.756493,11.4,58.7
8.119799,16.119799,54.845307,62.845307,12.1,58.8
8.835184,16.835184,54.93412,62.93412,12.8,58.9
9.55057,17.55057,55.022934,63.022934,13.5,59.0
10.519807,18.519807,54.930332,62.930332,14.5,58.9
11.489044,19.489044,54.837731,62.837731,15.4,58.8
12.458281,20.458281,54.745129,62.745129,16.4,58.7
