lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
344.694794,352.694794,55.862133,63.862133,-11.0,59.8
345.492473,353.492473,56.399357,64.399357,-10.0,60.3
346.290151,354.290151,56.93658,64.93658,-9.7,60.9
347.08783,355.08783,57.473804,65.473804,-8.9,61.4
347.785095,355.785095,57.911795,65.911795,-8.2,61.9
348.482361,356.482361,58.349786,66.349786,-7.5,62.3
349.179626,357.179626,58.787777,66.787777,-6.8,62.7
349.99237,357.99237,59.193052,67.193052,-6.0,63.1
350.805115,358.805115,59.598326,67.598326,-5.1,63.5
351.617859,359.617859,60.003601,68.003601,-4.3,64.0
352.398885,0.398885,60.401123,68.401123,-3.6,64.4
353.179912,1.179912,60.798645,68.798645,-2.8,64.7
353.960938,1.960938,61.196167,69.196167,-2.0,65.1
354.712955,2.712955,61.509328,69.509328,-1.2,65.5
355.464972,3.464972,61.82249,69.82249,-0.5,65.8
356.216989,4.216989,62.135651,70.135651,0.21,66.1
356.934727,4.934727,62.385659,70.385659,0.93,66.3
357.652466,5.652466,62.635666,70.635666,1.65,66.6
358.370204,6.370204,62.885674,70.885674,2.37,66.8
359.262483,7.262483,63.143565,71.143565,3.26,67.1
0.154761,8.154761000000002,63.401457,71.401457,4.15,67.4
1.04704,9.04704,63.659348,71.659348,5.04,67.6
2.036075,10.036075,63.834631,71.834631,6.03,67.8
3.02511,11.02511,64.009913,72.009913,7.02,68.0
4.014145,12.014145,64.185196,72.185196,8.01,68.1
4.950177,12.950177,64.327304,72.327304,8.95,68.3
5.88621,13.88621,64.469411,72.46941099999998,9.88,68.4
6.822242,14.822242,64.611519,72.611519,10.8,68.6
7.842262,15.842262,64.750267,72.75026699999998,11.8,68.7
8.862281,16.862281,64.889015,72.889015,12.8,68.8
9.882301,17.882301,65.027763,73.02776299999998,13.8,69.0
11.45074,19.45074,65.159347,73.15934699999998,15.4,69.1
13.019179,21.019179,65.290932,73.290932,17.0,69.2
14.587618,22.587618,65.422516,73.422516,18.5,69.4
16.339342,24.339342,65.475594,73.475594,20.3,69.4
18.091067,26.091067,65.528671,73.528671,22.0,69.5
19.842791,27.842791,65.581749,73.581749,23.8,69.5
21.750064,29.750064,65.455104,73.455104,25.7,69.4
23.657338,31.657338,65.328458,73.328458,27.6,69.3
25.564611,33.564611,65.201813,73.201813,29.5,69.2
28.492567,36.492567,64.879428,72.879428,32.4,68.8
31.420524,39.420524,64.557042,72.55704199999998,35.4,68.5
34.34848,42.34848,64.234657,72.234657,38.3,68.2
36.741025,44.741025,64.067784,72.067784,40.7,68.0
39.13357,47.13357,63.900912,71.900912,43.1,67.9
41.526115,49.526115,63.734039,71.734039,45.5,67.7
42.771802,50.771802,63.654754,71.654754,46.7,67.6
44.017489,52.017489,63.57547,71.57547,48.0,67.5
45.263176,53.263176,63.496185,71.496185,49.2,67.4
45.87645,53.87645,63.466113,71.466113,49.8,67.4
46.489723,54.489723,63.43604,71.43604,50.4,67.4
47.102997,55.102997,63.405968,71.405968,51.1,67.4
47.525959,55.525959,63.354734,71.354734,51.5,67.3
47.948921,55.948921,63.3035,71.3035,51.9,67.3
48.371883,56.371883,63.252266,71.252266,52.3,67.2
48.835823,56.835823,63.120003,71.120003,52.8,67.1
49.299762,57.299762,62.987739,70.987739,53.2,66.9
49.763702,57.763702,62.855476,70.855476,53.7,66.8
50.149561,58.149561,62.6865,70.6865,54.1,66.6
