lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
344.450612,352.450612,54.256202,62.256202,-11.0,58.2
345.418152,353.418152,54.777161,62.777161,-10.0,58.7
346.303009,354.303009,55.161404,63.161404,-9.6,59.1
347.187866,355.187866,55.545647,63.545647,-8.8,59.5
348.072723,356.072723,55.92989,63.92989,-7.9,59.9
348.893524,356.893524,56.282705,64.282705,-7.1,60.2
349.714325,357.714325,56.63552,64.63552,-6.2,60.6
350.535126,358.535126,56.988335,64.988335,-5.4,60.9
351.34078,359.34078,57.292125,65.292125,-4.6,61.2
352.146433,0.146433,57.595914,65.595914,-3.8,61.5
352.952087,0.952087,57.899704,65.899704,-3.0,61.8
353.825378,1.825378,58.159536,66.159536,-2.1,62.1
354.698669,2.698669,58.419367,66.419367,-1.3,62.4
355.57196,3.57196,58.679199,66.679199,-0.4,62.6
356.236171,4.236171,58.866704,66.866704,0.23,62.8
356.900383,4.900383,59.054209,67.054209,0.9,63.0
357.564594,5.564594,59.241714,67.241714,1.56,63.2
358.383136,6.383136,59.361876,67.361876,2.38,63.3
359.201679,7.201679,59.482038,67.482038,3.2,63.4
0.020221,8.020221,59.6022,67.6022,4.02,63.6
0.766515,8.766515,59.75883,67.75883,4.76,63.7
1.51281,9.51281,59.91546,67.91546,5.51,63.9
2.259104,10.259104,60.07209,68.07209,6.25,64.0
2.914687,10.914687,60.133354,68.133354,6.91,64.1
3.57027,11.57027,60.194618,68.194618,7.57,64.1
4.225853,12.225853,60.255882,68.255882,8.22,64.2
5.1981,13.1981,60.289904,68.289904,9.19,64.2
6.170348,14.170348,60.323926,68.323926,10.1,64.3
7.142595,15.142595,60.357948,68.357948,11.1,64.3
8.185687,16.185687,60.34687,68.34687,12.1,64.3
9.22878,17.22878,60.335793,68.335793,13.2,64.3
10.271872,18.271872,60.324715,68.324715,14.2,64.3
11.281496,19.281496,60.227102,68.227102,15.2,64.2
12.291121,20.291121,60.129489,68.129489,16.2,64.1
13.300745,21.300745,60.031876,68.031876,17.3,64.0
14.221992,22.221992,59.832075,67.832075,18.2,63.8
15.143239,23.143239,59.632273,67.632273,19.1,63.6
16.064486,24.064486,59.432472,67.432472,20.0,63.4
17.000326,25.000326,59.257233,67.257233,21.0,63.2
17.936165,25.936165,59.081993,67.081993,21.9,63.0
18.872005,26.872005,58.906754,66.906754,22.8,62.9
19.783484,27.783484,58.773618,66.773618,23.7,62.7
20.694962,28.694962,58.640483,66.640483,24.6,62.6
21.606441,29.606441,58.507347,66.507347,25.6,62.5
22.37932,30.37932,58.363232,66.363232,26.3,62.3
23.1522,31.1522,58.219116,66.219116,27.1,62.2
23.925079,31.925079,58.075001,66.075001,27.9,62.0
