lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
344.065857,352.065857,52.200592,60.200592,-11.0,56.2
344.677948,352.677948,52.596836,60.596836,-11.0,56.5
345.290039,353.290039,52.99308,60.99308,-10.0,56.9
345.90213,353.90213,53.389324,61.389324,-10.0,57.3
346.511108,354.511108,53.700583,61.700583,-9.4,57.7
347.120087,355.120087,54.011842,62.011842,-8.8,58.0
347.729065,355.729065,54.323101,62.323101,-8.2,58.3
348.166362,356.166362,54.64923,62.64923,-7.8,58.6
348.603658,356.603658,54.975358,62.975358,-7.3,58.9
349.040955,357.040955,55.301487,63.301487,-6.9,59.3
349.45102,357.45102,55.474831,63.474831,-6.5,59.4
349.861084,357.861084,55.648174,63.648174,-6.1,59.6
350.271149,358.271149,55.821518,63.821518,-5.7,59.8
350.643646,358.643646,55.91054,63.91054,-5.3,59.9
351.016144,359.016144,55.999563,63.999563,-4.9,59.9
351.388641,359.388641,56.088585,64.088585,-4.6,60.0
351.867004,359.867004,56.19223,64.19223,-4.1,60.1
352.345367,0.345367,56.295876,64.295876,-3.6,60.2
352.82373,0.82373,56.399521,64.399521,-3.1,60.3
353.193115,1.193115,56.386603,64.386603,-2.8,60.3
353.5625,1.5625,56.373685,64.373685,-2.4,60.3
353.931885,1.931885,56.360767,64.360767,-2.0,60.3
354.250092,2.250092,56.31958,64.31958,-1.7,60.3
354.568298,2.568298,56.278393,64.278393,-1.4,60.2
354.886505,2.886505,56.237206,64.237206,-1.1,60.2
355.275931,3.275931,56.261737,64.261737,-0.7,60.2
355.665358,3.665358,56.286268,64.286268,-0.3,60.2
356.054784,4.054784,56.310799,64.310799,0.05,60.3
356.52276,4.52276,56.322135,64.322135,0.52,60.3
356.990736,4.990736,56.333471,64.333471,0.99,60.3
357.458712,5.458712,56.344807,64.344807,1.45,60.3
357.975404,5.975404,56.329165,64.329165,1.97,60.3
358.492097,6.492097,56.313524,64.313524,2.49,60.3
359.008789,7.008789,56.297882,64.297882,3.0,60.2
359.550963,7.550963,56.369799,64.369799,3.55,60.3
0.093137,8.093137,56.441717,64.441717,4.09,60.4
0.635311,8.635311,56.513634,64.513634,4.63,60.5
1.19909,9.19909,56.625875,64.625875,5.19,60.6
1.762868,9.762868,56.738116,64.738116,5.76,60.7
2.326647,10.326647,56.850357,64.850357,6.32,60.8
3.122441,11.122441,56.928552,64.928552,7.12,60.9
3.918234,11.918234,57.006747,65.006747,7.91,61.0
4.714028,12.714028,57.084942,65.084942,8.71,61.0
5.715516,13.715516,57.228114,65.228114,9.71,61.2
6.717003,14.717003,57.371286,65.371286,10.7,61.3
7.718491,15.718491,57.514458,65.514458,11.7,61.5
8.707061,16.707061,57.528411,65.528411,12.7,61.5
9.695631,17.695631,57.542363,65.542363,13.6,61.5
10.684201,18.684201,57.556316,65.556316,14.6,61.5
11.868881,19.868881,57.459031,65.459031,15.8,61.4
13.053561,21.053561,57.361747,65.361747,17.0,61.3
14.238241,22.238241,57.264462,65.264462,18.2,61.2
15.172033,23.172033,57.281692,65.281692,19.1,61.2
16.105824,24.105824,57.298921,65.298921,20.1,61.2
17.039616,25.039616,57.316151,65.316151,21.0,61.3
18.049849,26.049849,57.46437,65.46437,22.0,61.4
19.060081,27.060081,57.612588,65.612588,23.0,61.6
20.070314,28.070314,57.760807,65.760807,24.0,61.7
21.33786,29.33786,58.130501,66.130501,25.3,62.1
22.605406,30.605406,58.500194,66.500194,26.6,62.5
23.872952,31.872952,58.869888,66.869888,27.8,62.8
