lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
344.026194,352.026194,46.155073,54.155073,-11.0,50.1,109
345.728322,353.728322,46.566668,54.566668,-10.0,50.5,110
347.43045,355.43045,46.978264,54.978264,-8.5,50.9,111
348.834889,356.834889,47.421814,55.421814,-7.1,51.4,112
350.239329,358.239329,47.865364,55.865364,-5.7,51.8,113
351.643768,359.643768,48.308914,56.308914,-4.3,52.3,114
353.085429,1.085429,48.913972,56.913972,-2.9,52.9,115
354.527089,2.527089,49.51903,57.51903,-1.4,53.5,116
355.96875,3.96875,50.124088,58.124088,0.0,54.1,117
357.097517,5.097517,50.49818,58.49818,1.09,54.4,118
358.226284,6.226284,50.872273,58.872273,2.22,54.8,119
359.355051,7.355051,51.246365,59.246365,3.35,55.2,120
0.56003,8.56003,51.498196,59.498196,4.56,55.4,121
1.765008,9.765008,51.750027,59.750027,5.76,55.7,122
2.969987,10.969987,52.001858,60.001858,6.96,56.0,123
4.144303,12.144303,52.181667,60.181667,8.14,56.1,124
5.31862,13.31862,52.361477,60.361477,9.31,56.3,125
6.492936,14.492936,52.541286,60.541286,10.4,56.5,126
7.549175,15.549175,52.681298,60.681298,11.5,56.6,127
8.605414,16.605414,52.821311,60.821311,12.6,56.8,128
9.661653,17.661653,52.961323,60.961323,13.6,56.9,129
10.647518,18.647518,53.061816,61.061816,14.6,57.0,130
11.633382,19.633382,53.162309,61.162309,15.6,57.1,131
12.619247,20.619247,53.262802,61.262802,16.6,57.2,132
13.502988,21.502988,53.376285,61.376285,17.5,57.3,133
14.386729,22.386729,53.489769,61.489769,18.3,57.4,134
15.27047,23.27047,53.603252,61.603252,19.2,57.6,135
15.746324,23.746324,53.738235,61.738235,19.7,57.7,136
16.222178,24.222178,53.873219,61.873219,20.2,57.8,137
16.698032,24.698032,54.008202,62.008202,20.6,58.0,138
17.14973,25.14973,54.143814,62.143814,21.1,58.1,139
17.601429,25.601429,54.279427,62.279427,21.6,58.2,140
18.053127,26.053127,54.415039,62.415039,22.0,58.4,141
18.423956,26.423956,54.610413,62.610413,22.4,58.6,142
18.794786,26.794786,54.805786,62.805786,22.7,58.8,143
19.165615,27.165615,55.00116,63.00116,23.1,59.0,144
19.405597,27.405597,55.112423,63.112423,23.4,59.1,145
19.645579,27.645579,55.223686,63.223686,23.6,59.2,146
19.885561,27.885561,55.334949,63.334949,23.8,59.3,147
20.092958,28.092958,55.400112,63.400112,24.0,59.4,148
20.300356,28.300356,55.465274,63.465274,24.3,59.4,149
20.507753,28.507753,55.530437,63.530437,24.5,59.5,150
20.733125,28.733125,55.509525,63.509525,24.7,59.5,151
20.958498,28.958498,55.488613,63.488613,24.9,59.4,152
21.18387,29.18387,55.467701,63.467701,25.1,59.4,153
21.393131,29.393131,55.457129,63.457129,25.3,59.4,154
21.602392,29.602392,55.446558,63.446558,25.6,59.4,155
21.811653,29.811653,55.435986,63.435986,25.8,59.4,156
22.195015,30.195015,55.376249,63.376249,26.1,59.3,157
22.578377,30.578377,55.316512,63.316512,26.5,59.3,158
22.961739,30.961739,55.256775,63.256775,26.9,59.2,159
23.659739,31.659739,55.410158,63.410158,27.6,59.4,160
24.357738,32.357738,55.56354,63.56354,28.3,59.5,161
25.055738,33.055738,55.716923,63.716923,29.0,59.7,162
25.767937,33.767937,55.886384,63.886384,29.7,59.8,163
26.480136,34.480136,56.055846,64.055846,30.4,60.0,164
27.192335,35.192335,56.225307,64.225307,31.1,60.2,165
27.729275,35.729275,56.383396,64.383396,31.7,60.3,166
28.266214,36.266214,56.541485,64.541485,32.2,60.5,167
28.803154,36.803154,56.699574,64.699574,32.8,60.6,168
29.339498,37.339498,56.975766,64.975766,33.3,60.9,169
29.875842,37.875842,57.251957,65.251957,33.8,61.2,170
30.412186,38.412186,57.528149,65.528149,34.4,61.5,171
30.809915,38.809915,57.684623,65.684623,34.8,61.6,172
31.207644,39.207644,57.841096,65.841096,35.2,61.8,173
31.605373,39.605373,57.99757,65.99757,35.6,61.9,174
31.97314,39.97314,58.163133,66.163133,35.9,62.1,175
32.340908,40.340908,58.328696,66.328696,36.3,62.3,176
32.708675,40.708675,58.494259,66.494259,36.7,62.4,177
32.845535,40.845535,58.749109,66.749109,36.8,62.7,178
32.982395,40.982395,59.003958,67.003958,36.9,63.0,179
33.119255,41.119255,59.258808,67.258808,37.1,63.2,180
33.216699,41.216699,59.532722,67.532722,37.2,63.5,181
33.314143,41.314143,59.806637,67.806637,37.3,63.8,182
33.411587,41.411587,60.080551,68.080551,37.4,64.0,183
33.745391,41.745391,60.383138,68.383138,37.7,64.3,184
34.079194,42.079194,60.685725,68.685725,38.0,64.6,185
