ArrayTaskID  Nom_dossier  Année
0  10m_u_component_of_wind  1990
1  10m_u_component_of_wind  1991
2  10m_u_component_of_wind  1992
3  10m_u_component_of_wind  1993
4  10m_u_component_of_wind  1994
5  10m_u_component_of_wind  1995
6  10m_u_component_of_wind  1996
7  10m_u_component_of_wind  1997
8  10m_u_component_of_wind  1998
9  10m_u_component_of_wind  1999
10  10m_u_component_of_wind  2000
11  10m_u_component_of_wind  2001
12  10m_u_component_of_wind  2002
13  10m_u_component_of_wind  2003
14  10m_u_component_of_wind  2004
15  10m_u_component_of_wind  2005
16  10m_u_component_of_wind  2006
17  10m_u_component_of_wind  2007
18  10m_u_component_of_wind  2008
19  10m_u_component_of_wind  2009
20  10m_u_component_of_wind  2010
21  10m_u_component_of_wind  2011
22  10m_u_component_of_wind  2012
23  10m_u_component_of_wind  2013
24  10m_u_component_of_wind  2014
25  10m_u_component_of_wind  2015
26  10m_u_component_of_wind  2016
27  10m_u_component_of_wind  2017
28  10m_u_component_of_wind  2018
29  10m_u_component_of_wind  2019
30  10m_u_component_of_wind  2020
31  10m_u_component_of_wind  2021
32  10m_v_component_of_wind  1990
33  10m_v_component_of_wind  1991
34  10m_v_component_of_wind  1992
35  10m_v_component_of_wind  1993
36  10m_v_component_of_wind  1994
37  10m_v_component_of_wind  1995
38  10m_v_component_of_wind  1996
39  10m_v_component_of_wind  1997
40  10m_v_component_of_wind  1998
41  10m_v_component_of_wind  1999
42  10m_v_component_of_wind  2000
43  10m_v_component_of_wind  2001
44  10m_v_component_of_wind  2002
45  10m_v_component_of_wind  2003
46  10m_v_component_of_wind  2004
47  10m_v_component_of_wind  2005
48  10m_v_component_of_wind  2006
49  10m_v_component_of_wind  2007
50  10m_v_component_of_wind  2008
51  10m_v_component_of_wind  2009
52  10m_v_component_of_wind  2010
53  10m_v_component_of_wind  2011
54  10m_v_component_of_wind  2012
55  10m_v_component_of_wind  2013
56  10m_v_component_of_wind  2014
57  10m_v_component_of_wind  2015
58  10m_v_component_of_wind  2016
59  10m_v_component_of_wind  2017
60  10m_v_component_of_wind  2018
61  10m_v_component_of_wind  2019
62  10m_v_component_of_wind  2020
63  10m_v_component_of_wind  2021
64  2m_dewpoint_temperature  1990
65  2m_dewpoint_temperature  1991
66  2m_dewpoint_temperature  1992
67  2m_dewpoint_temperature  1993
68  2m_dewpoint_temperature  1994
69  2m_dewpoint_temperature  1995
70  2m_dewpoint_temperature  1996
71  2m_dewpoint_temperature  1997
72  2m_dewpoint_temperature  1998
73  2m_dewpoint_temperature  1999
74  2m_dewpoint_temperature  2000
75  2m_dewpoint_temperature  2001
76  2m_dewpoint_temperature  2002
77  2m_dewpoint_temperature  2003
78  2m_dewpoint_temperature  2004
79  2m_dewpoint_temperature  2005
80  2m_dewpoint_temperature  2006
81  2m_dewpoint_temperature  2007
82  2m_dewpoint_temperature  2008
83  2m_dewpoint_temperature  2009
84  2m_dewpoint_temperature  2010
85  2m_dewpoint_temperature  2011
86  2m_dewpoint_temperature  2012
87  2m_dewpoint_temperature  2013
88  2m_dewpoint_temperature  2014
89  2m_dewpoint_temperature  2015
90  2m_dewpoint_temperature  2016
91  2m_dewpoint_temperature  2017
92  2m_dewpoint_temperature  2018
93  2m_dewpoint_temperature  2019
94  2m_dewpoint_temperature  2020
95  2m_dewpoint_temperature  2021
96  2m_temperature  1990
97  2m_temperature  1991
98  2m_temperature  1992
99  2m_temperature  1993
