lon_east,lon_west,lat_south,lat_north
329.733551,337.733551,44.387249,52.387249
336.328735,344.328735,45.404690,53.404690
342.804688,350.804688,46.997192,54.997192
347.293762,355.293762,48.263489,56.263489
351.262543,359.262543,49.718346,57.718346
354.007965,362.007965,51.546921,59.546921
356.088455,4.088455,53.079731,61.079731
356.647807,4.647807,55.116299,63.116299
357.790075,5.790075,56.703053,64.703053
356.836560,4.836560,58.503902,66.503902
356.270170,4.270170,60.238350,68.238350
356.514390,4.514390,61.579323,69.579323
355.182068,363.182068,62.389114,70.389114
354.514221,362.514221,63.480186,71.480186
353.864685,361.864685,64.247826,72.247826
354.391785,362.391785,65.041153,73.041153
354.632294,362.632294,65.835083,73.835083
354.422638,362.422638,66.590668,74.590668
354.268524,362.268524,67.225380,75.225380
353.800812,361.800812,67.628586,75.628586
353.151978,361.151978,67.504395,75.504395
352.725189,360.725189,66.928101,74.928101
353.342285,361.342285,66.134567,74.134567
354.559753,362.559753,65.925827,73.925827
355.924255,363.924255,65.669632,73.669632
357.480612,5.480612,65.260597,73.260597
358.591436,6.591436,65.150528,73.150528
0.393628,8.393628,65.201698,73.201698
2.690713,10.690713,65.197929,73.197929
9.128478,17.128478,65.369766,73.369766
12.140837,20.140837,65.609367,73.609367
12.501495,20.501495,66.109512,74.109512
15.258665,23.258665,66.341980,74.341980
