lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
346.182037,354.182037,58.172127,66.172127,-9.8,62.1,41
349.90448,357.90448,59.94072,67.94072,-6.0,63.9,42
353.105103,1.105103,61.280846,69.280846,-2.8,65.2,43
355.748383,3.748383,61.92878,69.92878,-0.2,65.9,44
358.228285,6.228285,62.65696,70.65696,2.22,66.6,45
1.215167,9.215167,63.838699,71.838699,5.21,67.8,46
4.344075,12.344075,64.668617,72.668617,8.34,68.6,47
7.377166,15.377166,65.331825,73.33182499999998,11.3,69.3,48
9.583329,17.583329,66.091438,74.09143799999998,13.5,70.0,49
12.549126,20.549126,66.612175,74.61217499999998,16.5,70.6,50
16.081631,24.081631,67.063026,75.06302599999998,20.0,71.0,51
19.41824,27.41824,67.503807,75.50380699999998,23.4,71.5,52
22.924921,30.924921,67.889145,75.889145,26.9,71.8,53
27.419859,35.419859,68.216301,76.216301,31.4,72.2,54
31.162617,39.162617,68.643021,76.643021,35.1,72.59999999999998,55
35.67321,43.67321,69.566086,77.566086,39.6,73.5,56
39.391434,47.391434,70.710983,78.710983,43.3,74.7,57
46.748802,54.748802,70.9711,78.9711,50.7,74.9,67
46.772903,54.772903,70.46328,78.46327999999998,50.7,74.4,68
46.308563,54.308563,69.927643,77.927643,50.3,73.9,69
46.346062,54.346062,69.384033,77.384033,50.3,73.29999999999998,70
46.230957,54.230957,68.936897,76.936897,50.2,72.9,71
46.255997,54.255997,68.555687,76.555687,50.2,72.5,72
46.315914,54.315914,68.065285,76.065285,50.3,72.0,73
47.099567,55.099567,67.609581,75.609581,51.0,71.6,74
49.618473,57.618473,66.97747,74.97746999999998,53.6,70.9,75
