fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
1,0.377178,8.377178000000002,54.495834,62.495834,4.37,58.4
2,3.35915,11.35915,54.169525,62.169525,7.35,58.1
3,5.659388,13.659388,53.92466,61.92466,9.65,57.9
4,8.536815000000002,16.536815,53.342731,61.342731,12.5,57.3
5,11.564646,19.564646,53.191883,61.191883,15.5,57.1
6,14.029617,22.029617,53.431034,61.431034,18.0,57.4
7,15.854532,23.854532,53.740814,61.740814,19.8,57.7
8,16.667297,24.667297,54.219643,62.219643,20.6,58.2
9,16.982309,24.982309,54.180363,62.180363,20.9,58.1
10,18.759489,26.759489,53.782436,61.782436,22.7,57.7
11,20.917299,28.917299,53.173191,61.173191,24.9,57.1
12,23.354269,31.354269,53.171535,61.171535,27.3,57.1
13,26.415705,34.415705,53.426445,61.426445,30.4,57.4
14,28.865742,36.865742,53.892525,61.892525,32.8,57.8
15,30.962402,38.962402,54.702221,62.702221,34.9,58.7
16,32.426414,40.426414,56.773113,64.773113,36.4,60.7
17,33.291004,41.291004,58.852219,66.852219,37.2,62.8
18,34.149654,42.149654,60.285118,68.285118,38.1,64.2
19,34.898327,42.898327,61.236671,69.236671,38.8,65.2
20,34.527058,42.527058,61.85128,69.85128,38.5,65.8
21,27.172377,35.172377,61.846504,69.846504,31.1,65.8
