fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
39,344.093353,352.093353,56.982925,64.982925,-11.0,60.9
40,349.658356,357.658356,57.435745,65.435745,-6.3,61.4
41,353.957764,1.957764,57.984188,65.984188,-2.0,61.9
42,358.47958,6.47958,57.858932,65.858932,2.47,61.8
43,3.165432,11.165432,57.608395,65.608395,7.16,61.6
44,5.766414,13.766414,57.750576,65.750576,9.76,61.7
45,9.665888,17.665888,57.529156,65.529156,13.6,61.5
46,16.142035,24.142035,56.009438,64.009438,20.1,60.0
47,19.162098,27.162098,55.042957,63.042957,23.1,59.0
48,20.783289,28.783289,54.225971,62.225971,24.7,58.2
49,22.969387,30.969387,53.634945,61.634945,26.9,57.6
50,26.024029,34.024029,53.189613,61.189613,30.0,57.1
51,29.772713,37.772713,52.356796,60.356796,33.7,56.3
52,34.490215,42.490215,48.870445,56.870445,38.4,52.8
53,36.379852,44.379852,48.741451,56.741451,40.3,52.7
54,38.475281,46.475281,49.188313,57.188313,42.4,53.1
55,37.510624,45.510624,52.321312,60.321312,41.5,56.3
56,38.822193,46.822193,52.413643,60.413643,42.8,56.4
57,39.794022,47.794022,52.801262,60.801262,43.7,56.8
58,40.641804,48.641804,53.590809,61.590809,44.6,57.5
59,41.168388,49.168388,54.237301,62.237301,45.1,58.2
