fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
6,346.064087,354.064087,48.94202,56.94202,-9.9,52.9
7,348.060791,356.060791,49.683846,57.683846,-7.9,53.6
8,349.538025,357.538025,50.166283,58.166283,-6.4,54.1
9,350.901703,358.901703,50.349358,58.349358,-5.0,54.3
10,351.997772,359.997772,50.859173,58.859173,-4.0,54.8
11,352.803436,0.803436,51.173019,59.173019,-3.1,55.1
12,354.192047,2.192047,50.993568,58.993568,-1.8,54.9
13,355.268799,3.268799,51.105247,59.105247,-0.7,55.1
14,355.810272,3.810272,51.925388,59.925388,-0.1,55.9
15,356.279311,4.279311,52.485981,60.485981,0.27,56.4
16,356.323169,4.323169,53.117031,61.117031,0.32,57.1
17,355.842987,3.842987,54.011654,62.011654,-0.1,58.0
18,354.444183,2.444183,55.512417,63.512417,-1.5,59.5
