lon_east,lon_west,lat_south,lat_north,center_lon,center_lat,fid
347.751495,355.751495,54.52454,62.52454,-8.2,58.5,27
351.827087,359.827087,55.047775,63.047775,-4.1,59.0,28
356.475963,4.475963,54.874802,62.874802,0.47,58.8,29
2.349762,10.349762,53.626415,61.626415,6.34,57.6,30
6.869864,14.869864,52.854588,60.854588,10.8,56.8,31
10.9889,18.9889,51.750317,59.750317,14.9,55.7,32
14.990171,22.990171,50.572163,58.572163,18.9,54.5,33
18.143044,26.143044,49.614403,57.614403,22.1,53.6,34
21.599464,29.599464,47.806679,55.806679,25.5,51.8,35
26.337044,34.337044,45.094894,53.094894,30.3,49.0,36
28.054668,36.054668,43.850697,51.850697,32.0,47.8,37
28.847382,36.847382,42.986088,50.986088,32.8,46.9,38
29.927029,37.927029,43.578568,51.578568,33.9,47.5,39
31.089607,39.089607,44.743427,52.743427,35.0,48.7,40
32.037395,40.037395,45.304779,53.304779,36.0,49.3,41
31.663918,39.663918,46.051441,54.051441,35.6,50.0,42
