fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
10,347.848938,355.848938,57.391014,65.391014,-8.1,61.3
11,352.865448,0.865448,58.613331,66.613331,-3.1,62.6
12,358.195691,6.195691,59.244011,67.244011,2.19,63.2
13,3.296208,11.296208,59.419498,67.419498,7.29,63.4
14,7.118746,15.118746,60.177895,68.177895,11.1,64.1
15,11.757762,19.757762,60.50486,68.50486,15.7,64.5
16,16.103086,24.103086,60.463013,68.463013,20.1,64.4
17,19.475147,27.475147,60.330856,68.330856,23.4,64.3
18,21.957762,29.957762,60.412552,68.412552,25.9,64.4
19,24.556374,32.556374,60.518532,68.518532,28.5,64.5
20,26.515196,34.515196,60.907814,68.907814,30.5,64.9
21,28.081211,36.081211,61.469727,69.469727,32.0,65.4
22,29.986195,37.986195,61.946373,69.946373,33.9,65.9
23,31.37019,39.37019,62.470802,70.470802,35.3,66.4
24,32.976284,40.976284,62.886215,70.886215,36.9,66.8
25,34.702702,42.702702,63.198402,71.198402,38.7,67.1
26,36.642857,44.642857,63.568375,71.568375,40.6,67.5
27,37.174164,45.174164,64.706444,72.706444,41.1,68.7
28,38.078346,46.078346,65.353767,73.353767,42.0,69.3
29,38.30238,46.30238,66.094536,74.094536,42.3,70.0
30,36.678909,44.678909,67.617516,75.617516,40.6,71.6
31,35.010139,43.010139,68.751328,76.751328,39.0,72.7
32,34.666328,42.666328,69.196854,77.196854,38.6,73.1
33,32.582993,40.582993,69.915787,77.915787,36.5,73.9
34,34.501453,42.501453,69.949486,77.949486,38.5,73.9
35,34.540215,42.540215,70.188446,78.188446,38.5,74.1
36,33.053112,41.053112,70.101639,78.101639,37.0,74.1
37,31.30357,39.30357,69.968147,77.968147,35.3,73.9
