fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
35,345.02066,353.02066,46.011982,54.011982,-10.0,50.0
36,348.334259,356.334259,46.750175,54.750175,-7.6,50.7
37,351.077057,359.077057,47.349606,55.349606,-4.9,51.3
38,353.435852,1.435852,48.013371,56.013371,-2.5,52.0
39,355.580292,3.580292,48.834095,56.834095,-0.4,52.8
40,357.963815,5.963815,49.5341,57.5341,1.96,53.5
41,359.757282,7.757282,50.039219,58.039219,3.75,54.0
42,1.600487,9.600487,50.664505,58.664505,5.6,54.6
43,5.35815,13.35815,51.479668,59.479668,9.35,55.4
44,10.533448,18.533448,52.576298,60.576298,14.5,56.5
45,12.303223,20.303223,53.43539,61.43539,16.3,57.4
46,13.846052,21.846052,53.993931,61.993931,17.8,57.9
47,15.279612,23.279612,54.224091,62.224091,19.2,58.2
48,16.301985,24.301985,54.440887,62.440887,20.3,58.4
49,17.068789,25.068789,55.003479,63.003479,21.0,59.0
50,19.115168,27.115168,54.562355,62.562355,23.1,58.5
