fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
4,348.483917,356.483917,47.351418,55.351418,-7.5,51.3
5,352.31427,0.31427,48.622105,56.622105,-3.6,52.6
6,355.039825,3.039825,50.149551,58.149551,-0.9,54.1
7,357.061327,5.061327,51.605236,59.605236,1.06,55.6
8,359.156054,7.156054,53.029949,61.029949,3.15,57.0
9,0.688337,8.688337000000002,54.294529,62.294529,4.68,58.2
10,1.551519,9.551519,55.431053,63.431053,5.55,59.4
11,2.161489,10.161489,56.41906,64.41906,6.16,60.4
12,2.243418,10.243418,57.354164,65.354164,6.24,61.3
13,2.311927,10.311927,58.221741,66.221741,6.31,62.2
14,1.868954,9.868954,59.118439,67.118439,5.86,63.1
15,1.436245,9.436245,59.843914,67.843914,5.43,63.8
16,0.712127,8.712127000000002,60.880882,68.880882,4.71,64.8
17,0.207369,8.207369,61.76532,69.76532,4.2,65.7
18,359.391289,7.391289,62.362854,70.362854,3.39,66.3
19,357.97548,5.97548,62.728943,70.728943,1.97,66.7
20,357.370766,5.370766,63.106316,71.106316,1.37,67.1
21,356.30246,4.30246,63.559395,71.559395,0.3,67.5
22,354.536835,2.536835,63.675354,71.675354,-1.4,67.6
23,353.14209,1.14209,63.680916,71.680916,-2.8,67.6
24,352.561676,0.561676,64.096733,72.096733,-3.4,68.0
25,351.035309,359.035309,63.98597,71.98597,-4.9,67.9
26,349.68222,357.68222,63.29364,71.29364,-6.3,67.2
27,348.458313,356.458313,61.305733,69.305733,-7.5,65.3
28,348.366638,356.366638,60.793991,68.793991,-7.6,64.7
29,348.197723,356.197723,60.518066,68.518066,-7.8,64.5
30,347.783264,355.783264,60.344765,68.344765,-8.2,64.3
31,347.032196,355.032196,60.338295,68.338295,-8.9,64.3
32,346.591888,354.591888,60.16581,68.16581,-9.4,64.1
33,345.455536,353.455536,59.895123,67.895123,-10.0,63.8
34,344.675659,352.675659,59.71204,67.71204,-11.0,63.7
35,344.054382,352.054382,59.249443,67.249443,-11.0,63.2
