fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
38,347.43045,355.43045,46.978264,54.978264,-8.5,50.9
39,351.643768,359.643768,48.308914,56.308914,-4.3,52.3
40,355.96875,3.96875,50.124088,58.124088,0.0,54.1
41,359.355051,7.355051,51.246365,59.246365,3.35,55.2
42,2.969987,10.969987,52.001858,60.001858,6.96,56.0
43,6.492936,14.492936,52.541286,60.541286,10.4,56.5
44,9.661653,17.661653,52.961323,60.961323,13.6,56.9
45,12.619247,20.619247,53.262802,61.262802,16.6,57.2
46,15.27047,23.27047,53.603252,61.603252,19.2,57.6
47,16.698032,24.698032,54.008202,62.008202,20.6,58.0
48,18.053127,26.053127,54.415039,62.415039,22.0,58.4
49,19.165615,27.165615,55.00116,63.00116,23.1,59.0
50,19.885561,27.885561,55.334949,63.334949,23.8,59.3
51,20.507753,28.507753,55.530437,63.530437,24.5,59.5
52,21.18387,29.18387,55.467701,63.467701,25.1,59.4
53,21.811653,29.811653,55.435986,63.435986,25.8,59.4
54,22.961739,30.961739,55.256775,63.256775,26.9,59.2
55,25.055738,33.055738,55.716923,63.716923,29.0,59.7
56,27.192335,35.192335,56.225307,64.225307,31.1,60.2
57,28.803154,36.803154,56.699574,64.699574,32.8,60.6
58,30.412186,38.412186,57.528149,65.528149,34.4,61.5
59,31.605373,39.605373,57.99757,65.99757,35.6,61.9
60,32.708675,40.708675,58.494259,66.494259,36.7,62.4
61,33.119255,41.119255,59.258808,67.258808,37.1,63.2
62,33.411587,41.411587,60.080551,68.080551,37.4,64.0
63,34.412998,42.412998,60.988312,68.988312,38.4,64.9
64,35.208073,43.208073,61.68734,69.68734,39.2,65.6
65,35.957294,43.957294,62.248627,70.248627,39.9,66.2
66,37.521793,45.521793,62.768188,70.768188,41.5,66.7
67,39.507797,47.507797,63.732719,71.732719,43.5,67.7
68,41.397419,49.397419,64.568314,72.568314,45.3,68.5
69,42.586262,50.586262,65.475632,73.475632,46.5,69.4
70,42.881817,50.881817,66.209679,74.209679,46.8,70.2
71,43.459976,51.459976,66.986755,74.986755,47.4,70.9
72,44.684349,52.684349,67.827477,75.827477,48.6,71.8
73,44.851788,52.851788,68.45668,76.45668,48.8,72.4
74,45.298347,53.298347,69.256302,77.256302,49.2,73.2
75,48.47298,56.47298,70.432671,78.432671,52.4,74.4
