fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
24,344.763062,352.763062,52.23531,60.23531,-11.0,56.2
25,347.810211,355.810211,55.01487,63.01487,-8.1,59.0
26,350.625977,358.625977,56.666451,64.666451,-5.3,60.6
27,353.09552,1.09552,57.981602,65.981602,-2.9,61.9
28,355.476898,3.476898,58.757805,66.757805,-0.5,62.7
29,357.5875,5.5875,59.510944,67.510944,1.58,63.5
30,359.006591,7.006591,60.144272,68.144272,3.0,64.1
31,358.710836,6.710836,60.261848,68.261848,2.71,64.2
32,359.85573,7.85573,60.180626,68.180626,3.85,64.1
33,1.393216,9.393216,59.868511,67.868511,5.39,63.8
34,2.860352,10.860352,59.459625,67.459625,6.86,63.4
35,4.938305,12.938305,59.310814,67.310814,8.93,63.3
36,7.484274,15.484274,58.986118,66.986118,11.4,62.9
37,12.234213,20.234213,58.569012,66.569012,16.2,62.5
38,16.836832,24.836832,58.07814,66.07814,20.8,62.0
39,17.975145,25.975145,57.164833,65.164833,21.9,61.1
40,19.219744,27.219744,56.22612,64.22612,23.2,60.2
41,21.135717,29.135717,55.654015,63.654015,25.1,59.6
42,23.558828,31.558828,55.229977,63.229977,27.5,59.2
43,26.208982,34.208982,54.71656,62.71656,30.2,58.7
44,28.635269,36.635269,53.929932,61.929932,32.6,57.9
45,31.330406,39.330406,53.198715,61.198715,35.3,57.1
46,34.564522,42.564522,52.344288,60.344288,38.5,56.3
47,38.58659,46.58659,51.207272,59.207272,42.5,55.2
48,41.47625,49.47625,49.584003,57.584003,45.4,53.5
49,42.553738,50.553738,49.201599,57.201599,46.5,53.2
50,43.563431,51.563431,49.553814,57.553814,47.5,53.5
51,44.040207,52.040207,49.510742,57.510742,48.0,53.5
52,43.246994,51.246994,48.888577,56.888577,47.2,52.8
53,42.166878,50.166878,48.626591,56.626591,46.1,52.6
54,40.33007,48.33007,47.957012,55.957012,44.3,51.9
55,41.042641,49.042641,47.342655,55.342655,45.0,51.3
56,42.485043,50.485043,47.011166,55.011166,46.4,51.0
57,44.334908,52.334908,46.424259,54.424259,48.3,50.4
58,45.705799,53.705799,45.779484,53.779484,49.7,49.7
59,46.8428,54.8428,45.3353,53.3353,50.8,49.3
60,47.979374,55.979374,44.840183,52.840183,51.9,48.8
61,49.566944,57.566944,44.499165,52.499165,53.5,48.4
62,50.827057,58.827057,44.401474,52.401474,54.8,48.4
63,52.793499,60.793499,44.348755,52.348755,56.7,48.3
64,55.759914,63.759914,44.407684,52.407684,59.7,48.4
65,60.607269,68.607269,45.359562,53.359562,64.6,49.3
66,64.969688,72.969688,46.325012,54.325012,68.9,50.3
