fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
37,348.310242,356.310242,60.825157,68.825157,-7.6,64.8
38,353.548431,1.548431,61.592888,69.592888,-2.4,65.5
39,357.913401,5.913401,62.087006,70.087006,1.91,66.0
40,3.109962,11.109962,62.508148,70.508148,7.1,66.5
41,8.917338000000004,16.917338,62.626457,70.626457,12.9,66.6
42,15.732956,23.732956,62.440941,70.440941,19.7,66.4
43,22.674461,30.674461,61.849159,69.849159,26.6,65.8
44,26.890043,34.890043,60.75177,68.75177,30.8,64.7
45,30.690521,38.690521,59.870426,67.870426,34.6,63.8
46,34.728924,42.728924,59.303074,67.303074,38.7,63.3
47,38.505611,46.505611,58.346119,66.346119,42.5,62.3
48,42.362755,50.362755,57.011707,65.011707,46.3,61.0
49,45.42086,53.42086,55.939568,63.939568,49.4,59.9
50,48.528725,56.528725,54.930046,62.930046,52.5,58.9
51,51.158222,59.158222,54.397808,62.397808,55.1,58.3
52,53.563293,61.563293,53.923355,61.923355,57.5,57.9
53,55.719158,63.719158,53.418446,61.418446,59.7,57.4
54,57.878353,65.878353,52.977959,60.977959,61.8,56.9
55,60.002441,68.002441,52.740047,60.740047,64.0,56.7
56,61.122818,69.122818,52.526093,60.526093,65.1,56.5
