fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
19,344.091827,352.091827,50.890598,58.890598,-11.0,54.8
20,349.299866,357.299866,50.969646,58.969646,-6.7,54.9
21,354.075043,2.075043,51.175362,59.175362,-1.9,55.1
22,358.32333,6.32333,51.566086,59.566086,2.32,55.5
23,2.220098,10.220098,52.032047,60.032047,6.22,56.0
24,5.614526,13.614526,52.713562,60.713562,9.61,56.7
25,8.678132,16.678132,53.527718,61.527718,12.6,57.5
26,11.219101,19.219101,54.19281,62.19281,15.2,58.1
27,13.829227,21.829227,54.878525,62.878525,17.8,58.8
28,15.514814,23.514814,55.512127,63.512127,19.5,59.5
29,16.89777,24.89777,56.114006,64.114006,20.8,60.1
30,17.888943,25.888943,56.595592,64.595592,21.8,60.5
31,18.157978,26.157978,56.658951,64.658951,22.1,60.6
32,18.819426,26.819426,56.596058,64.596058,22.8,60.5
33,19.106188,27.106188,56.50428,64.50428,23.1,60.5
34,19.712566,27.712566,56.353321,64.353321,23.7,60.3
35,20.821466,28.821466,56.334541,64.334541,24.8,60.3
36,21.978264,29.978264,56.425671,64.425671,25.9,60.4
37,23.277672,31.277672,56.539085,64.539085,27.2,60.5
38,24.618269,32.618269,57.031883,65.031883,28.6,61.0
39,26.349216,34.349216,57.561096,65.561096,30.3,61.5
40,27.895132,35.895132,58.290901,66.290901,31.8,62.2
41,29.716625,37.716625,58.951458,66.951458,33.7,62.9
