fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
47,344.876984,352.876984,49.028397,57.028397,-11.0,53.0
48,348.027985,356.027985,48.857937,56.857937,-7.9,52.8
49,352.212769,0.212769,48.819443,56.819443,-3.7,52.8
50,355.981537,3.981537,48.692894,56.692894,0.0,52.6
51,359.848752,7.848752,48.843391,56.843391,3.84,52.8
52,4.798218,12.798218,49.207554,57.207554,8.79,53.2
53,9.408265,17.408265,49.059738,57.059738,13.4,53.0
54,13.460129,21.460129,48.750828,56.750828,17.4,52.7
55,16.551147,24.551147,48.756504,56.756504,20.5,52.7
56,19.211559,27.211559,48.729744,56.729744,23.2,52.7
57,21.521061,29.521061,48.563606,56.563606,25.5,52.5
58,23.392208,31.392208,48.94627,56.94627,27.3,52.9
59,24.296114,32.296114,49.77573,57.77573,28.2,53.7
60,26.212004,34.212004,50.029655,58.029655,30.2,54.0
61,27.412169,35.412169,50.447269,58.447269,31.4,54.4
62,28.715565,36.715565,50.817905,58.817905,32.7,54.8
63,30.290779,38.290779,51.568394,59.568394,34.2,55.5
64,31.862663,39.862663,51.945427,59.945427,35.8,55.9
65,32.180176,40.180176,52.490639,60.490639,36.1,56.4
66,33.491505,41.491505,52.75819,60.75819,37.4,56.7
67,35.127792,43.127792,53.410507,61.410507,39.1,57.4
68,36.050766,44.050766,53.866802,61.866802,40.0,57.8
69,36.173622,44.173622,54.537472,62.537472,40.1,58.5
70,37.187881,45.187881,55.297401,63.297401,41.1,59.2
71,38.203987,46.203987,56.33633,64.33633,42.2,60.3
72,39.124889,47.124889,57.079811,65.079811,43.1,61.0
73,38.675571,46.675571,58.682102,66.682102,42.6,62.6
74,38.974464,46.974464,60.681465,68.681465,42.9,64.6
75,41.623753,49.623753,61.296524,69.296524,45.6,65.2
76,44.417667,52.417667,62.139503,70.139503,48.4,66.1
