fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
26,344.020782,352.020782,58.829971,66.829971,-11.0,62.8
27,344.717773,352.717773,58.937401,66.937401,-11.0,62.9
28,345.188019,353.188019,58.985283,66.985283,-10.0,62.9
29,346.564148,354.564148,59.127342,67.127342,-9.4,63.1
30,347.596069,355.596069,59.329762,67.329762,-8.4,63.3
31,349.023773,357.023773,59.65361,67.65361,-6.9,63.6
32,350.568756,358.568756,60.289291,68.289291,-5.4,64.2
33,351.671143,359.671143,60.745644,68.745644,-4.3,64.7
34,352.03772,0.03772,61.39344,69.39344,-3.9,65.3
35,352.766357,0.766357,61.603783,69.603783,-3.2,65.6
36,353.32959,1.32959,61.67614,69.67614,-2.6,65.6
37,354.034119,2.034119,61.96405,69.96405,-1.9,65.9
38,354.377563,2.377563,62.294617,70.294617,-1.6,66.2
39,355.341583,3.341583,62.439003,70.439003,-0.6,66.4
40,355.638763,3.638763,62.464386,70.464386,-0.3,66.4
41,356.151459,4.151459,62.531609,70.531609,0.15,66.5
42,356.5229,4.5229,62.690437,70.690437,0.52,66.6
43,356.710349,4.710349,62.810234,70.810234,0.71,66.8
44,356.499869,4.499869000000001,62.931816,70.931816,0.49,66.9
45,356.829461,4.829461,62.952293,70.952293,0.82,66.9
46,355.90448,3.90448,63.189751,71.189751,0.0,67.1
47,355.246948,3.246948,63.185837,71.185837,-0.7,67.1
48,354.778931,2.778931,63.150894,71.150894,-1.2,67.1
49,354.533081,2.533081,63.217598,71.217598,-1.4,67.2
50,354.82547,2.82547,63.226822,71.226822,-1.1,67.2
51,355.697449,3.697449,63.269073,71.269073,-0.3,67.2
52,356.949307,4.949307,63.36087,71.36087,0.94,67.3
53,358.301334,6.301334,63.472832,71.472832,2.3,67.4
54,359.882769,7.882769,63.769646,71.769646,3.88,67.7
55,1.870867,9.870867,64.15686,72.15686,5.87,68.1
56,4.247319,12.247319,64.526939,72.526939,8.24,68.5
57,6.816404,14.816404,64.710716,72.710716,10.8,68.7
