fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
5,349.220978,357.220978,51.917252,59.917252,-6.7,55.9
6,353.414917,1.414917,52.57333,60.57333,-2.5,56.5
7,358.065558,6.065558,53.72847,61.72847,2.06,57.7
8,2.207673,10.207673,54.746944,62.746944,6.2,58.7
9,5.250413,13.250413,55.452221,63.452221,9.25,59.4
10,6.598186,14.598186,55.932518,63.932518,10.5,59.9
11,9.573704,17.573704,57.705677,65.705677,13.5,61.7
12,12.343048,20.343048,60.017776,68.017776,16.3,64.0
13,14.257654,22.257654,62.138847,70.138847,18.2,66.1
14,15.372536,23.372536,64.037476,72.037476,19.3,68.0
15,16.383352,24.383352,65.089256,73.089256,20.3,69.0
16,17.045496,25.045496,65.712723,73.712723,21.0,69.7
17,18.284672,26.284672,65.898422,73.898422,22.2,69.8
18,20.383421,28.383421,66.631348,74.631348,24.3,70.6
19,22.415989,30.415989,66.705116,74.705116,26.4,70.7
20,24.534992,32.534992,67.599098,75.599098,28.5,71.5
21,25.466906,33.466906,67.940163,75.940163,29.4,71.9
22,27.293083,35.293083,67.985115,75.985115,31.2,71.9
23,28.019867,36.019867,68.076103,76.076103,32.0,72.0
24,29.47171,37.47171,68.641472,76.641472,33.4,72.6
25,30.321301,38.321301,68.966438,76.966438,34.3,72.9
26,31.203106,39.203106,69.056236,77.056236,35.2,73.0
27,32.553215,40.553215,69.499878,77.499878,36.5,73.4
28,34.307014,42.307014,70.058289,78.058289,38.3,74.0
29,35.772503,43.772503,70.792496,78.792496,39.7,74.7
