fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
47,344.84491,352.84491,50.349407,58.349407,-11.0,54.3
48,347.256317,355.256317,52.05574,60.05574,-8.7,56.0
49,349.629517,357.629517,53.593098,61.593098,-6.3,57.5
50,351.072754,359.072754,55.514217,63.514217,-4.9,59.5
51,353.014648,1.014648,56.867813,64.867813,-2.9,60.8
52,354.705078,2.705078,58.300819,66.300819,-1.2,62.3
53,355.885895,3.885895,59.550991,67.550991,-0.1,63.5
54,356.830007,4.830007,60.795654,68.795654,0.83,64.7
55,358.153999,6.153999,61.743973,69.743973,2.15,65.7
56,359.107041,7.107041,62.83683,70.83683,3.1,66.8
57,359.680872,7.680872,63.367157,71.367157,3.68,67.3
58,1.200041,9.200041,64.128922,72.128922,5.2,68.1
59,3.178382,11.178382,64.780067,72.780067,7.17,68.7
60,4.451879,12.451879,65.517296,73.517296,8.45,69.5
61,4.898182,12.898182,66.377701,74.377701,8.890000000000002,70.3
62,6.53077,14.53077,66.962227,74.962227,10.5,70.9
63,8.545897,16.545897,66.814774,74.814774,12.5,70.8
64,10.9245,18.9245,66.528091,74.528091,14.9,70.5
65,12.005339,20.005339,67.595665,75.595665,16.0,71.5
66,18.214436,26.214436,66.705795,74.705795,22.2,70.7
67,23.853373,31.853373,65.803101,73.803101,27.8,69.8
68,28.224167,36.224167,65.753838,73.753838,32.2,69.7
69,33.383385,41.383385,65.990715,73.990715,37.3,69.9
70,38.489246,46.489246,65.809937,73.809937,42.4,69.8
71,42.234409,50.234409,65.980583,73.980583,46.2,69.9
72,44.723061,52.723061,66.405937,74.405937,48.7,70.4
73,47.912086,55.912086,66.383522,74.383522,51.9,70.3
74,50.912811,58.912811,66.464714,74.464714,54.9,70.4
75,53.494419,61.494419,66.51693,74.51693,57.4,70.5
76,56.427929,64.427929,66.370331,74.370331,60.4,70.3
77,58.747032,66.747032,66.284912,74.284912,62.7,70.2
78,61.622612,69.622612,66.255264,74.255264,65.6,70.2
79,62.603119,70.603119,66.206902,74.206902,66.6,70.2
80,61.503296,69.503296,66.15023,74.15023,65.5,70.1
81,57.859379,65.859379,65.948196,73.948196,61.8,69.9
82,55.987381,63.987381,65.503601,73.503601,59.9,69.5
83,56.60778,64.60778,65.180481,73.180481,60.6,69.1
84,57.993221,65.993221,65.107101,73.107101,61.9,69.1
85,59.639809,67.639809,64.902252,72.902252,63.6,68.9
86,61.03051,69.03051,64.818947,72.818947,65.0,68.8
87,63.166504,71.166504,64.576355,72.576355,67.1,68.5
88,65.087601,73.087601,64.521576,72.521576,69.0,68.5
89,66.726921,74.726921,64.369492,72.369492,70.7,68.3
