fid,lon_east,lon_west,lat_south,lat_north,center_lon,center_lat
15,344.566742,352.566742,44.707256,52.707256,-11.0,48.7
16,348.030151,356.030151,45.582626,53.582626,-7.9,49.5
17,351.160614,359.160614,46.908741,54.908741,-4.8,50.9
18,354.484192,2.484192,48.370659,56.370659,-1.5,52.3
19,357.987385,5.987385,50.099117,58.099117,1.98,54.0
20,1.713137,9.713137,51.55452,59.55452,5.71,55.5
21,5.91436,13.91436,52.884296,60.884296,9.91,56.8
22,9.648022,17.648022,53.745899,61.745899,13.6,57.7
23,13.507526,21.507526,54.852531,62.852531,17.5,58.8
24,17.260418,25.260418,55.622574,63.622574,21.2,59.6
25,20.348671,28.348671,56.362831,64.362831,24.3,60.3
26,23.396091,31.396091,56.923,64.923,27.3,60.9
27,26.984238,34.984238,57.548931,65.548931,30.9,61.5
28,31.911007,39.911007,58.240589,66.240589,35.9,62.2
29,36.707367,44.707367,59.034653,67.034653,40.7,63.0
30,40.753365,48.753365,59.563122,67.563122,44.7,63.5
31,44.268475,52.268475,60.113098,68.113098,48.2,64.1
32,47.264198,55.264198,60.451538,68.451538,51.2,64.4
33,50.944332,58.944332,60.751602,68.751602,54.9,64.7
34,55.337528,63.337528,60.864456,68.864456,59.3,64.8
