lon_east,lon_west,lat_south,lat_north
276.807861,284.807861,36.627380,44.627380
279.190857,287.190857,37.067249,45.067249
278.912750,286.912750,35.803444,43.803444
280.136810,288.136810,35.143726,43.143726
281.423126,289.423126,34.729187,42.729187
282.932007,290.932007,34.847305,42.847305
286.725677,294.725677,36.662457,44.662457
288.525055,296.525055,37.445110,45.445110
290.945465,298.945465,38.756378,46.756378
294.247375,302.247375,40.410561,48.410561
298.580933,306.580933,42.284828,50.284828
303.898438,311.898438,44.411991,52.411991
309.581085,317.581085,46.186314,54.186314
314.065979,322.065979,47.663624,55.663624
320.161560,328.161560,49.071159,57.071159
327.529572,335.529572,50.045952,58.045952
333.677429,341.677429,50.272408,58.272408
339.302704,347.302704,50.554104,58.554104
344.091827,352.091827,50.890598,58.890598
349.299866,357.299866,50.969646,58.969646
354.075043,362.075043,51.175362,59.175362
358.323330,6.323330,51.566086,59.566086
2.220098,10.220098,52.032047,60.032047
5.614526,13.614526,52.713562,60.713562
8.678132,16.678132,53.527718,61.527718
11.219101,19.219101,54.192810,62.192810
13.829227,21.829227,54.878525,62.878525
15.514814,23.514814,55.512127,63.512127
16.897770,24.897770,56.114006,64.114006
17.888943,25.888943,56.595592,64.595592
18.157978,26.157978,56.658951,64.658951
18.819426,26.819426,56.596058,64.596058
19.106188,27.106188,56.504280,64.504280
19.712566,27.712566,56.353321,64.353321
20.821466,28.821466,56.334541,64.334541
21.978264,29.978264,56.425671,64.425671
23.277672,31.277672,56.539085,64.539085
24.618269,32.618269,57.031883,65.031883
26.349216,34.349216,57.561096,65.561096
27.895132,35.895132,58.290901,66.290901
29.716625,37.716625,58.951458,66.951458
