lon_east,lon_west,lat_south,lat_north
332.661835,340.661835,47.429874,55.429874
339.011108,347.011108,46.391972,54.391972
343.796173,351.796173,46.327499,54.327499
348.483917,356.483917,47.351418,55.351418
352.31427,0.31427,48.622105,56.622105
355.039825,3.039825,50.149551,58.149551
357.061327,5.061327,51.605236,59.605236
359.156054,7.156054,53.029949,61.029949
0.688337,8.688337,54.294529,62.294529
1.551519,9.551519,55.431053,63.431053
2.161489,10.161489,56.41906,64.41906
2.243418,10.243418,57.354164,65.354164
2.311927,10.311927,58.221741,66.221741
1.868954,9.868954,59.118439,67.118439
1.436245,9.436245,59.843914,67.843914
0.712127,8.712127,60.880882,68.880882
0.207369,8.207369,61.76532,69.76532
359.391289,7.391289,62.362854,70.362854
357.97548,5.97548,62.728943,70.728943
357.370766,5.370766,63.106316,71.106316
356.30246,4.30246,63.559395,71.559395
354.536835,2.536835,63.675354,71.675354
353.14209,1.14209,63.680916,71.680916
352.561676,0.561676,64.096733,72.096733
351.035309,359.035309,63.98597,71.98597
349.68222,357.68222,63.29364,71.29364
348.458313,356.458313,61.305733,69.305733
348.366638,356.366638,60.793991,68.793991
348.197723,356.197723,60.518066,68.518066
347.783264,355.783264,60.344765,68.344765
347.032196,355.032196,60.338295,68.338295
346.591888,354.591888,60.16581,68.16581
345.455536,353.455536,59.895123,67.895123
344.675659,352.675659,59.71204,67.71204
344.054382,352.054382,59.249443,67.249443
343.351288,351.351288,58.052086,66.052086
343.534821,351.534821,57.263577,65.263577
